x,f(x)
-3.00000000,-7.43269152
-2.90000000,-4.24959196
-2.80000000,-3.00588510
-2.70000000,-2.34712707
-2.60000000,-1.94267412
-2.50000000,-1.67206919
-2.40000000,-1.48094842
-2.30000000,-1.34121903
-2.20000000,-1.23695276
-2.10000000,-1.15850565
-2.00000000,-1.09976638
-1.90000000,-1.05675400
-1.80000000,-1.02685744
-1.70000000,-1.00840489
-1.60000000,-1.00042642
-1.50000000,-1.00251123
-1.40000000,-1.01476508
-1.30000000,-1.03782005
-1.20000000,-1.07291638
-1.10000000,-1.12207332
-1.00000000,-1.18839511
-0.90000000,-1.27660621
-0.80000000,-1.39400782
-0.70000000,-1.55227033
-0.60000000,-1.77103220
-0.50000000,-2.08582964
-0.40000000,-2.56793246
-0.30000000,-3.38386336
-0.20000000,-5.03348955
-0.10000000,-10.01668613
0.00000000,655069036708435.80000000
0.10000000,10.01668613
0.20000000,5.03348955
0.30000000,3.38386336
0.40000000,2.56793246
0.50000000,2.08582964
0.60000000,1.77103220
0.70000000,1.55227033
0.80000000,1.39400782
0.90000000,1.27660621
1.00000000,1.18839511
1.10000000,1.12207332
1.20000000,1.07291638
1.30000000,1.03782005
1.40000000,1.01476508
1.50000000,1.00251123
1.60000000,1.00042642
1.70000000,1.00840489
1.80000000,1.02685744
1.90000000,1.05675400
2.00000000,1.09976638
2.10000000,1.15850565
2.20000000,1.23695276
2.30000000,1.34121903
2.40000000,1.48094842
2.50000000,1.67206919
2.60000000,1.94267412
2.70000000,2.34712707
2.80000000,3.00588510
2.90000000,4.24959196
