x;f(x)
-3.00000000;-0.99090806
-2.90000000;-0.97191874
-2.80000000;-0.94303952
-2.70000000;-0.90469831
-2.60000000;-0.85733770
-2.50000000;-0.80145030
-2.40000000;-0.73759538
-2.30000000;-0.66640453
-2.20000000;-0.58858092
-2.10000000;-0.50489470
-2.00000000;-0.41617611
-1.90000000;-0.32330731
-1.80000000;-0.22721331
-1.70000000;-0.12884176
-1.60000000;-0.02919399
-1.50000000;0.07073622
-1.40000000;0.16996698
-1.30000000;0.26749885
-1.20000000;0.36235776
-1.10000000;0.45359612
-1.00000000;0.54030231
-0.90000000;0.62160997
-0.80000000;0.69670671
-0.70000000;0.76484219
-0.60000000;0.82533561
-0.50000000;0.87758256
-0.40000000;0.92106099
-0.30000000;0.95533649
-0.20000000;0.98006658
-0.10000000;0.99500417
0.00000000;1.00000000
0.10000000;0.99500417
0.20000000;0.98006658
0.30000000;0.95533649
0.40000000;0.92106099
0.50000000;0.87758256
0.60000000;0.82533561
0.70000000;0.76484219
0.80000000;0.69670671
0.90000000;0.62160997
1.00000000;0.54030231
1.10000000;0.45359612
1.20000000;0.36235776
1.30000000;0.26749885
1.40000000;0.16996698
1.50000000;0.07073622
1.60000000;-0.02919399
1.70000000;-0.12884176
1.80000000;-0.22721331
1.90000000;-0.32330731
2.00000000;-0.41617611
2.10000000;-0.50489470
2.20000000;-0.58858092
2.30000000;-0.66640453
2.40000000;-0.73759538
2.50000000;-0.80145030
2.60000000;-0.85733770
2.70000000;-0.90469831
2.80000000;-0.94303952
2.90000000;-0.97191874
