x;f(x)
-0.90000000;2.26372206
-0.80000000;2.13262531
-0.70000000;2.09488740
-0.60000000;2.15732490
-0.50000000;2.34774101
-0.40000000;2.73257589
-0.30000000;3.47527847
-0.20000000;5.07376181
-0.10000000;10.02670288
-0.00000000;7205759403792794.00000000
0.10000000;14833.47080455
0.20000000;1726.81948943
0.30000000;300.73123368
0.40000000;57.13589450
0.50000000;9.77180987
0.60000000;0.88471979
0.70000000;-0.38150463
0.80000000;-0.33779642
0.90000000;-0.15814529
1.00000000;-0.00000000
1.10000000;0.13244071
1.20000000;0.24789209
1.30000000;0.37205910
1.40000000;0.56589270
1.50000000;0.93444711
1.60000000;1.62654305
1.70000000;2.82908164
1.80000000;4.75912236
1.90000000;7.65562093
2.00000000;11.77180987
2.10000000;17.36864024
2.20000000;24.70948397
2.30000000;34.05550321
2.40000000;45.66281845
2.50000000;59.77975160
2.60000000;76.64510913
2.70000000;96.48695412
2.80000000;119.52181940
2.90000000;145.95426629
3.00000000;175.97671047
3.10000000;209.76945151
3.20000000;247.50001739
3.30000000;289.32669070
3.40000000;335.39420554
3.50000000;385.83718658
3.60000000;440.77988729
3.70000000;500.33667519
3.80000000;564.61252594
3.90000000;633.70351764
4.00000000;707.69731865
4.10000000;786.67366427
4.20000000;870.70481869
4.30000000;959.85602005
4.40000000;1054.18590689
4.50000000;1153.74692512
