x,f(x)
0.10000000,-1.43066597
0.20000000,-1.00000000
0.30000000,-0.74807101
0.40000000,-0.56932418
0.50000000,-0.43067697
0.60000000,-0.31739431
0.70000000,-0.22161495
0.80000000,-0.13864714
0.90000000,-0.06546430
1.00000000,-0.00000000
1.10000000,0.05921967
1.20000000,0.11328295
1.30000000,0.16301640
1.40000000,0.20906233
1.50000000,0.25193004
1.60000000,0.29203010
1.70000000,0.32969830
1.80000000,0.36521281
1.90000000,0.39880666
2.00000000,0.43067697
2.10000000,0.46099199
2.20000000,0.48989682
2.30000000,0.51751626
2.40000000,0.54396004
2.50000000,0.56932418
2.60000000,0.59369338
2.70000000,0.61714277
2.80000000,0.63973926
2.90000000,0.66154273
3.00000000,0.68260695
3.10000000,0.70298041
3.20000000,0.72270658
3.30000000,0.74182609
3.40000000,0.76037478
3.50000000,0.77838576
3.60000000,0.79588931
3.70000000,0.81291326
3.80000000,0.82948317
3.90000000,0.84562266
4.00000000,0.86135350
4.10000000,0.87669589
4.20000000,0.89166855
4.30000000,0.90628888
4.40000000,0.92057308
4.50000000,0.93453626
4.60000000,0.94819253
4.70000000,0.96155509
4.80000000,0.97463632
4.90000000,0.98744734
5.00000000,1.00000000
5.10000000,1.01230408
5.20000000,1.02436923
5.30000000,1.03620456
5.40000000,1.04781865
5.50000000,1.05921963
5.60000000,1.07041517
5.70000000,1.08141255
5.80000000,1.09221866
5.90000000,1.10284005
6.00000000,1.11328242
