x;f(x)
0.20000000;-1.46497190
0.30000000;-1.09590301
0.40000000;-0.83404393
0.50000000;-0.63092966
0.60000000;-0.46497374
0.70000000;-0.32465967
0.80000000;-0.20311417
0.90000000;-0.09590336
1.00000000;-0.00000000
1.10000000;0.08675515
1.20000000;0.16595633
1.30000000;0.23881445
1.40000000;0.30627044
1.50000000;0.36907044
1.60000000;0.42781589
1.70000000;0.48299874
1.80000000;0.53502651
1.90000000;0.58424055
2.00000000;0.63092966
2.10000000;0.67534031
2.20000000;0.71768507
2.30000000;0.75814678
2.40000000;0.79688618
2.50000000;0.83404393
2.60000000;0.86974412
2.70000000;0.90409682
2.80000000;0.93720004
2.90000000;0.96914151
