x;f(x)
0.00000000;-Infinity
0.10000000;-2.30256304
0.20000000;-1.60943440
0.30000000;-1.20397122
0.40000000;-0.91628992
0.50000000;-0.69314633
0.60000000;-0.51082532
0.70000000;-0.35667472
0.80000000;-0.22314348
0.90000000;-0.10536050
1.00000000;-0.00000000
1.10000000;0.09531017
1.20000000;0.18232147
1.30000000;0.26236421
1.40000000;0.33647211
1.50000000;0.40546488
1.60000000;0.47000329
1.70000000;0.53062778
1.80000000;0.58778607
1.90000000;0.64185316
2.00000000;0.69314633
2.10000000;0.74193637
2.20000000;0.78845679
2.30000000;0.83290847
2.40000000;0.87546801
2.50000000;0.91628992
2.60000000;0.95551056
2.70000000;0.99325081
2.80000000;1.02961838
2.90000000;1.06470963
