x;f(x)
-3.00000000;-1.00917536
-2.99000000;-1.01064511
-2.98000000;-1.01222471
-2.97000000;-1.01391467
-2.96000000;-1.01571555
-2.95000000;-1.01762801
-2.94000000;-1.01965279
-2.93000000;-1.02179069
-2.92000000;-1.02404263
-2.91000000;-1.02640958
-2.90000000;-1.02889260
-2.89000000;-1.03149283
-2.88000000;-1.03421152
-2.87000000;-1.03704996
-2.86000000;-1.04000957
-2.85000000;-1.04309181
-2.84000000;-1.04629827
-2.83000000;-1.04963061
-2.82000000;-1.05309059
-2.81000000;-1.05668005
-2.80000000;-1.06040094
-2.79000000;-1.06425531
-2.78000000;-1.06824529
-2.77000000;-1.07237315
-2.76000000;-1.07664123
-2.75000000;-1.08105201
-2.74000000;-1.08560806
-2.73000000;-1.09031208
-2.72000000;-1.09516690
-2.71000000;-1.10017546
-2.70000000;-1.10534085
-2.69000000;-1.11066627
-2.68000000;-1.11615508
-2.67000000;-1.12181079
-2.66000000;-1.12763704
-2.65000000;-1.13363765
-2.64000000;-1.13981660
-2.63000000;-1.14617804
-2.62000000;-1.15272629
-2.61000000;-1.15946588
-2.60000000;-1.16640152
-2.59000000;-1.17353813
-2.58000000;-1.18088084
-2.57000000;-1.18843502
-2.56000000;-1.19620626
-2.55000000;-1.20420039
-2.54000000;-1.21242354
-2.53000000;-1.22088205
-2.52000000;-1.22958261
-2.51000000;-1.23853217
-2.50000000;-1.24773800
-2.49000000;-1.25720773
-2.48000000;-1.26694931
-2.47000000;-1.27697108
-2.46000000;-1.28728177
-2.45000000;-1.29789051
-2.44000000;-1.30880688
-2.43000000;-1.32004092
-2.42000000;-1.33160314
-2.41000000;-1.34350460
-2.40000000;-1.35575687
-2.39000000;-1.36837213
-2.38000000;-1.38136316
-2.37000000;-1.39474341
-2.36000000;-1.40852701
-2.35000000;-1.42272883
-2.34000000;-1.43736453
-2.33000000;-1.45245062
-2.32000000;-1.46800450
-2.31000000;-1.48404452
-2.30000000;-1.50059005
-2.29000000;-1.51766155
-2.28000000;-1.53528066
-2.27000000;-1.55347025
-2.26000000;-1.57225456
-2.25000000;-1.59165924
-2.24000000;-1.61171152
-2.23000000;-1.63244025
-2.22000000;-1.65387612
-2.21000000;-1.67605171
-2.20000000;-1.69900173
-2.19000000;-1.72276310
-2.18000000;-1.74737521
-2.17000000;-1.77288007
-2.16000000;-1.79932258
-2.15000000;-1.82675073
-2.14000000;-1.85521591
-2.13000000;-1.88477318
-2.12000000;-1.91548166
-2.11000000;-1.94740483
-2.10000000;-1.98061101
-2.09000000;-2.01517378
-2.08000000;-2.05117251
-2.07000000;-2.08869296
-2.06000000;-2.12782791
-2.05000000;-2.16867790
-2.04000000;-2.21135203
